date,covid,nineteen,one,people,#covid19,vaccine,get,would,us,year,like,pay,nhs,see,today,first,back,think,last,jab,time,#covid,need,@factcovid,new,good,day,well,still,risk,getting,two,uk,going,#flujabequalscovidjab,government,#asthmaticsatrisk,could,go,got,week,great,work,test,long,blood,due,passports,#covidvaccine,vaccination,deaths,police,rules,school,easter,passport,tests,want,many,know,staff,variant,vigil,lockdown,#covid19vaccine,lost,#dayofreflection,lives,remember,since,johnson,enough,left,together,office,tory,#dateofalqadrnightramadan1442,allah,yemen,ad,mohammad,nasser,three,two thousand and twenty-one,imam,alyemeni,"one thousand, four hundred and forty-two",eighteen,rajab,ah,mahdi,worship
2021-03-11,639.0,107.0,79.0,76.0,122.0,89.0,69.0,52.0,43.0,55.0,1.0,1.0,1.0,1.0,64.0,50.0,50.0,1.0,1.0,52.0,39.0,1.0,1.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,39.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-12,754.0,128.0,92.0,105.0,143.0,99.0,80.0,67.0,66.0,83.0,49.0,1.0,1.0,1.0,77.0,59.0,53.0,1.0,55.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-13,775.0,117.0,86.0,104.0,111.0,77.0,85.0,66.0,54.0,58.0,1.0,1.0,1.0,1.0,57.0,59.0,1.0,59.0,1.0,59.0,55.0,1.0,1.0,1.0,1.0,1.0,55.0,52.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-14,884.0,146.0,103.0,154.0,102.0,67.0,102.0,77.0,1.0,78.0,66.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,87.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126.0,65.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-15,771.0,135.0,92.0,110.0,141.0,154.0,100.0,72.0,1.0,58.0,1.0,1.0,1.0,1.0,57.0,52.0,54.0,1.0,47.0,66.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,49.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-16,817.0,138.0,128.0,105.0,144.0,151.0,118.0,72.0,1.0,91.0,54.0,1.0,1.0,1.0,67.0,71.0,1.0,1.0,70.0,67.0,69.0,1.0,1.0,1.0,1.0,48.0,69.0,61.0,53.0,1.0,1.0,1.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-17,778.0,134.0,120.0,92.0,173.0,125.0,80.0,66.0,68.0,64.0,54.0,1.0,1.0,1.0,77.0,59.0,1.0,1.0,1.0,81.0,58.0,1.0,1.0,1.0,1.0,1.0,70.0,47.0,1.0,1.0,1.0,1.0,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-18,662.0,127.0,78.0,76.0,119.0,113.0,49.0,61.0,1.0,48.0,1.0,1.0,1.0,1.0,59.0,58.0,1.0,1.0,39.0,48.0,46.0,1.0,1.0,1.0,1.0,41.0,40.0,40.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-19,707.0,140.0,79.0,85.0,130.0,133.0,94.0,81.0,57.0,64.0,1.0,1.0,1.0,1.0,80.0,80.0,1.0,1.0,48.0,73.0,63.0,1.0,1.0,1.0,1.0,1.0,57.0,54.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-20,822.0,118.0,89.0,123.0,138.0,130.0,98.0,75.0,62.0,77.0,54.0,1.0,1.0,1.0,93.0,75.0,1.0,1.0,1.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,1.0,55.0,1.0,1.0,1.0,57.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-21,806.0,140.0,88.0,130.0,105.0,122.0,107.0,102.0,71.0,76.0,99.0,1.0,1.0,1.0,57.0,62.0,69.0,51.0,62.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,1.0,1.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,1.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-22,832.0,141.0,94.0,89.0,143.0,104.0,88.0,77.0,85.0,73.0,1.0,59.0,78.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.0,68.0,66.0,64.0,61.0,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-23,1205.0,199.0,253.0,199.0,338.0,1.0,98.0,109.0,134.0,403.0,1.0,1.0,1.0,1.0,213.0,100.0,1.0,1.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0,1.0,1.0,1.0,157.0,1.0,275.0,130.0,113.0,109.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-24,807.0,166.0,92.0,86.0,146.0,97.0,62.0,74.0,51.0,77.0,48.0,1.0,1.0,1.0,59.0,1.0,51.0,1.0,1.0,63.0,63.0,1.0,1.0,1.0,1.0,1.0,53.0,46.0,49.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-25,840.0,124.0,112.0,108.0,122.0,124.0,107.0,86.0,58.0,67.0,72.0,1.0,1.0,48.0,59.0,50.0,49.0,56.0,1.0,54.0,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-26,1441.0,842.0,1.0,1.0,1.0,1.0,1.0,195.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,604.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,719.0,630.0,570.0,516.0,475.0,473.0,471.0,448.0,419.0,380.0,212.0,206.0,203.0,201.0,183.0,177.0
2021-03-27,601.0,95.0,80.0,78.0,90.0,70.0,75.0,85.0,49.0,56.0,50.0,1.0,1.0,1.0,42.0,40.0,1.0,1.0,39.0,63.0,49.0,43.0,40.0,38.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-28,585.0,88.0,54.0,69.0,100.0,79.0,64.0,60.0,44.0,47.0,45.0,1.0,1.0,1.0,45.0,1.0,42.0,1.0,1.0,1.0,58.0,1.0,37.0,1.0,48.0,1.0,48.0,1.0,1.0,1.0,1.0,46.0,40.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-29,614.0,111.0,84.0,70.0,114.0,93.0,59.0,56.0,1.0,45.0,52.0,1.0,1.0,1.0,62.0,53.0,58.0,1.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0,41.0,42.0,1.0,1.0,1.0,44.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-30,752.0,112.0,85.0,111.0,124.0,106.0,75.0,83.0,51.0,45.0,42.0,1.0,1.0,1.0,49.0,42.0,1.0,1.0,46.0,43.0,55.0,1.0,1.0,1.0,1.0,1.0,54.0,44.0,51.0,1.0,1.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-31,622.0,99.0,58.0,109.0,111.0,99.0,53.0,37.0,34.0,38.0,56.0,1.0,1.0,1.0,36.0,35.0,1.0,1.0,1.0,41.0,1.0,1.0,1.0,1.0,1.0,34.0,39.0,1.0,42.0,1.0,1.0,36.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-04-01,629.0,97.0,77.0,115.0,104.0,71.0,78.0,68.0,49.0,56.0,47.0,1.0,1.0,1.0,49.0,1.0,1.0,38.0,44.0,39.0,48.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-04-02,658.0,87.0,58.0,92.0,88.0,79.0,65.0,67.0,49.0,55.0,44.0,1.0,1.0,1.0,40.0,1.0,44.0,1.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,47.0,1.0,42.0,1.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-04-03,613.0,97.0,78.0,103.0,89.0,82.0,62.0,62.0,41.0,1.0,42.0,1.0,1.0,44.0,49.0,1.0,41.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,1.0,40.0,42.0,1.0,39.0,1.0,1.0,39.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-04-04,546.0,52.0,54.0,87.0,68.0,61.0,59.0,55.0,33.0,39.0,32.0,1.0,1.0,1.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
