,token,count,date
253,vision,2,2021-04-08
254,better,2,2021-04-08
255,msm,2,2021-04-08
256,state,2,2021-04-08
257,fptp,2,2021-04-08
258,haverfordwest,2,2021-04-08
259,right,2,2021-04-08
260,bristol,76,2021-03-26
261,police,73,2021-03-26
262,protest,35,2021-03-26
263,#killthebill,24,2021-03-26
264,protestors,18,2021-03-26
265,bill,16,2021-03-26
266,peaceful,14,2021-03-26
267,#bristolprotest,12,2021-03-26
268,people,12,2021-03-26
269,#bristol,12,2021-03-26
270,tonight,11,2021-03-26
271,see,11,2021-03-26
272,@aspolice,11,2021-03-26
273,@epigrampaper,10,2021-03-26
274,us,9,2021-03-26
275,city,9,2021-03-26
276,riot,8,2021-03-26
277,station,8,2021-03-26
278,protesting,8,2021-03-26
279,protests,7,2021-03-26
280,#killthebill,7,2021-04-07
281,protest,5,2021-04-07
282,bristol,5,2021-04-07
283,arrested,4,2021-04-07
284,protesting,3,2021-04-07
285,one,3,2021-04-07
286,working,2,2021-04-07
287,#bristolprotests,2,2021-04-07
288,taxi,2,2021-04-07
289,drivers,2,2021-04-07
290,liverpool,2,2021-04-07
291,good,2,2021-04-07
292,number,2,2021-04-07
293,people,2,2021-04-07
294,march,2,2021-04-07
295,protests,2,2021-04-07
296,watch,2,2021-04-07
297,last,2,2021-04-07
298,today,2,2021-04-07
299,green,2,2021-04-07
300,#killthebill,107,2021-03-15
301,protest,64,2021-03-15
302,bill,57,2021-03-15
303,police,51,2021-03-15
304,right,49,2021-03-15
305,crime,35,2021-03-15
306,sentencing,33,2021-03-15
307,courts,32,2021-03-15
308,defend,32,2021-03-15
309,#freedomtoprotest,31,2021-03-15
310,peaceful,29,2021-03-15
311,#righttoprotest,28,2021-03-15
312,#policecrackdownbill,26,2021-03-15
313,#reclaimthesestreets,24,2021-03-15
314,#policebill,20,2021-03-15
315,powers,20,2021-03-15
316,home,18,2021-03-15
317,government,17,2021-03-15
318,#protest4protest,16,2021-03-15
319,petition,15,2021-03-15
320,bill,163,2021-03-16
321,police,102,2021-03-16
322,protest,100,2021-03-16
323,crime,58,2021-03-16
324,right,55,2021-03-16
325,sentencing,47,2021-03-16
326,courts,47,2021-03-16
327,#killthebill,34,2021-03-16
328,#righttoprotest,26,2021-03-16
329,people,23,2021-03-16
330,women,22,2021-03-16
331,government,22,2021-03-16
332,protests,21,2021-03-16
333,#policebill,21,2021-03-16
334,join,20,2021-03-16
335,call,20,2021-03-16
336,scrap,20,2021-03-16
337,proposals,20,2021-03-16
338,threaten,20,2021-03-16
339,access,20,2021-03-16
340,bill,23,2021-03-18
341,police,15,2021-03-18
342,#killthebill,12,2021-03-18
343,protest,8,2021-03-18
344,would,6,2021-03-18
345,little,5,2021-03-18
346,crime,5,2021-03-18
347,sentencing,5,2021-03-18
348,courts,5,2021-03-18
349,@pritipatel,4,2021-03-18
350,#righttoprotest,4,2021-03-18
351,back,4,2021-03-18
352,protests,4,2021-03-18
353,government,4,2021-03-18
354,making,3,2021-03-18
355,petition,3,2021-03-18
356,peaceful,3,2021-03-18
357,good,3,2021-03-18
358,like,3,2021-03-18
359,join,3,2021-03-18
360,bill,26,2021-03-19
361,police,18,2021-03-19
362,#killthebill,15,2021-03-19
363,would,10,2021-03-19
364,protest,10,2021-03-19
365,crime,9,2021-03-19
366,right,7,2021-03-19
367,courts,6,2021-03-19
368,#policecrackdownbill,5,2021-03-19
369,people,5,2021-03-19
370,sentencing,5,2021-03-19
371,still,5,2021-03-19
372,call,4,2021-03-19
373,rights,4,2021-03-19
374,#actnow,4,2021-03-19
375,tory,4,2021-03-19
376,silenced,4,2021-03-19
377,new,4,2021-03-19
378,old,4,2021-03-19
379,could,4,2021-03-19
380,#killthebill,48,2021-03-20
381,protest,25,2021-03-20
382,bill,16,2021-03-20
383,#policecrackdownbill,12,2021-03-20
384,today,9,2021-03-20
385,#reclaimthesestreets,9,2021-03-20
386,police,8,2021-03-20
387,#righttoprotest,6,2021-03-20
388,right,6,2021-03-20
389,people,6,2021-03-20
390,women,6,2021-03-20
391,#actnow,5,2021-03-20
392,manchester,5,2021-03-20
393,protesters,5,2021-03-20
394,st,5,2021-03-20
395,courts,5,2021-03-20
396,#ceebill,4,2021-03-20
397,united,4,2021-03-20
398,new,4,2021-03-20
399,day,4,2021-03-20
400,bristol,210,2021-03-21
401,police,178,2021-03-21
402,protest,128,2021-03-21
403,#killthebill,110,2021-03-21
404,#bristol,82,2021-03-21
405,people,56,2021-03-21
406,bill,55,2021-03-21
407,protests,46,2021-03-21
408,right,42,2021-03-21
409,#bristolprotest,42,2021-03-21
410,peaceful,39,2021-03-21
411,officers,31,2021-03-21
412,scenes,28,2021-03-21
413,violence,27,2021-03-21
414,riots,27,2021-03-21
415,need,26,2021-03-21
416,like,26,2021-03-21
417,tonight,26,2021-03-21
418,disgusting,23,2021-03-21
419,get,22,2021-03-21
420,police,9,2021-03-13
421,crime,7,2021-03-13
422,sentencing,7,2021-03-13
423,bill,7,2021-03-13
424,courts,5,2021-03-13
425,new,4,2021-03-13
426,vote,3,2021-03-13
427,see,2,2021-03-13
428,state,2,2021-03-13
429,public,2,2021-03-13
430,#policestate,2,2021-03-13
431,support,2,2021-03-13
432,monday,2,2021-03-13
433,court,2,2021-03-13
434,coming,2,2021-03-13
435,upset,2,2021-03-13
436,@ethandlawrence,1,2021-03-13
437,let,1,2021-03-13
438,us,1,2021-03-13
439,show,1,2021-03-13
440,bristol,48,2021-03-23
441,police,39,2021-03-23
442,protest,20,2021-03-23
443,#killthebill,13,2021-03-23
444,bill,11,2021-03-23
445,riots,11,2021-03-23
446,peaceful,10,2021-03-23
447,#bristolprotest,10,2021-03-23
448,riot,10,2021-03-23
449,government,8,2021-03-23
450,#bristol,8,2021-03-23
451,protests,8,2021-03-23
452,people,8,2021-03-23
453,tonight,7,2021-03-23
454,us,7,2021-03-23
455,protesters,7,2021-03-23
456,crime,6,2021-03-23
457,@aspolice,6,2021-03-23
458,courts,5,2021-03-23
459,please,5,2021-03-23
460,bristol,240,2021-03-22
461,police,189,2021-03-22
462,protest,98,2021-03-22
463,people,79,2021-03-22
464,last,65,2021-03-22
465,#bristolprotest,63,2021-03-22
466,bill,60,2021-03-22
467,#killthebill,55,2021-03-22
468,protests,55,2021-03-22
469,night,52,2021-03-22
470,violence,49,2021-03-22
471,#bristol,47,2021-03-22
472,peaceful,44,2021-03-22
473,riot,39,2021-03-22
474,riots,39,2021-03-22
475,officers,33,2021-03-22
476,right,33,2021-03-22
477,get,25,2021-03-22
478,protesters,25,2021-03-22
479,would,24,2021-03-22
480,bristol,34,2021-03-24
481,police,27,2021-03-24
482,#killthebill,19,2021-03-24
483,protest,18,2021-03-24
484,last,10,2021-03-24
485,peaceful,10,2021-03-24
486,#bristolprotest,10,2021-03-24
487,#bristol,8,2021-03-24
488,night,7,2021-03-24
489,would,7,2021-03-24
490,people,7,2021-03-24
491,protesters,6,2021-03-24
492,#protest,6,2021-03-24
493,protestors,6,2021-03-24
494,riot,5,2021-03-24
495,bill,5,2021-03-24
496,protests,5,2021-03-24
497,go,5,2021-03-24
498,college,4,2021-03-24
499,green,4,2021-03-24
500,police,35,2021-03-25
501,protest,26,2021-03-25
502,scrap,20,2021-03-25
503,threaten,20,2021-03-25
504,#righttoprotest,20,2021-03-25
505,bill,19,2021-03-25
506,crime,17,2021-03-25
507,sentencing,17,2021-03-25
508,courts,17,2021-03-25
509,call,16,2021-03-25
510,right,16,2021-03-25
511,access,16,2021-03-25
512,countryside,16,2021-03-25
513,#silencingbill,16,2021-03-25
514,join,15,2021-03-25
515,bristol,14,2021-03-25
516,#killthebill,7,2021-03-25
517,broken,7,2021-03-25
518,bones,6,2021-03-25
519,tell,5,2021-03-25
520,police,169,2021-03-27
521,bristol,145,2021-03-27
522,#killthebill,105,2021-03-27
523,protest,58,2021-03-27
524,#bristolprotests,46,2021-03-27
525,people,41,2021-03-27
526,protests,39,2021-03-27
527,@aspolice,36,2021-03-27
528,violence,35,2021-03-27
529,#bristolprotest,34,2021-03-27
530,last,31,2021-03-27
531,protesters,25,2021-03-27
532,peaceful,24,2021-03-27
533,bill,24,2021-03-27
534,see,21,2021-03-27
535,night,21,2021-03-27
536,officers,20,2021-03-27
537,#bristol,19,2021-03-27
538,get,19,2021-03-27
539,like,18,2021-03-27
540,@commons26705903,1,2021-03-01
541,@babyboy79629227,1,2021-03-01
542,@catharinehoey,1,2021-03-01
543,nwo,1,2021-03-01
544,#wmd,1,2021-03-01
545,#ww3,1,2021-03-01
546,soros,1,2021-03-01
547,east,1,2021-03-01
548,takes,1,2021-03-01
549,west,1,2021-03-01
550,dead,1,2021-03-01
551,nuclear,1,2021-03-01
552,war,1,2021-03-01
553,etoniains,1,2021-03-01
554,impulsive,1,2021-03-01
555,irrational,1,2021-03-01
556,humanity,1,2021-03-01
557,reckless,1,2021-03-01
558,arrogance,1,2021-03-01
559,referendum,1,2021-03-01
560,police,3,2021-03-10
561,today,2,2021-03-10
562,home,1,2021-03-10
563,secretary,1,2021-03-10
564,@pritipatel,1,2021-03-10
565,took,1,2021-03-10
566,action,1,2021-03-10
567,strengthen,1,2021-03-10
568,powers,1,2021-03-10
569,tackle,1,2021-03-10
570,protests,1,2021-03-10
571,causing,1,2021-03-10
572,disruption,1,2021-03-10
573,new,1,2021-03-10
574,crime,1,2021-03-10
575,sentencing,1,2021-03-10
576,courts,1,2021-03-10
577,bill,1,2021-03-10
578,introduced,1,2021-03-10
579,delivers,1,2021-03-10
580,parliament,2,2021-03-11
581,nine,2,2021-03-11
582,march,2,2021-03-11
583,two thousand and twenty-one,2,2021-03-11
584,police,1,2021-03-11
585,crime,1,2021-03-11
586,sentencing,1,2021-03-11
587,courts,1,2021-03-11
588,bill,1,2021-03-11
589,introduced,1,2021-03-11
590,today,1,2021-03-11
591,full,1,2021-03-11
592,list,1,2021-03-11
593,measures,1,2021-03-11
594,available,1,2021-03-11
595,website,1,2021-03-11
596,tuesday,1,2021-03-11
597,take,1,2021-03-11
598,huge,1,2021-03-11
599,backwards,1,2021-03-11
600,police,2,2021-03-12
601,crime,2,2021-03-12
602,sentencing,2,2021-03-12
603,courts,2,2021-03-12
604,bill,2,2021-03-12
605,demonstrations,2,2021-03-12
606,opposed,2,2021-03-12
607,nothing,1,2021-03-12
608,political,1,2021-03-12
609,response,1,2021-03-12
610,establishment,1,2021-03-12
611,success,1,2021-03-12
612,groups,1,2021-03-12
613,like,1,2021-03-12
614,black,1,2021-03-12
615,lives,1,2021-03-12
616,matter,1,2021-03-12
617,extinction,1,2021-03-12
618,rebellion,1,2021-03-12
619,must,1,2021-03-12
620,police,3,2021-03-07
621,class,2,2021-03-07
622,violence,1,2021-03-07
623,greece,1,2021-03-07
624,junta,1,2021-03-07
625,levelsmiddle,1,2021-03-07
626,boroughs,1,2021-03-07
627,protesting,1,2021-03-07
628,unprovoked,1,2021-03-07
629,brutalitythis,1,2021-03-07
630,state,1,2021-03-07
631,new,1,2021-03-07
632,greeks,1,2021-03-07
633,old,1,2021-03-07
634,news,1,2021-03-07
635,working,1,2021-03-07
636,migrant,1,2021-03-07
637,neighbourhoods,1,2021-03-07
638,like,1,2021-03-07
639,grew,1,2021-03-07
640,nhs,2,2021-03-06
641,@piersmorgan,1,2021-03-06
642,@matthancock,1,2021-03-06
643,hypoxcrisy,1,2021-03-06
644,matt,1,2021-03-06
645,hancock,1,2021-03-06
646,mp,1,2021-03-06
647,#policestate,1,2021-03-06
648,sc,1,2021-03-06
649,#plentymoney,1,2021-03-06
650,gchq,1,2021-03-06
651,#gaslighting,1,2021-03-06
652,wb,1,2021-03-06
653,dr,1,2021-03-06
654,rita,1,2021-03-06
655,pal,1,2021-03-06
656,qc,1,2021-03-06
657,#psychiatrist,1,2021-03-06
658,york,1,2021-03-06
659,pharmacist,1,2021-03-06
